year,id,country,iso,region,income_group,lcgdp,lpop,polity,open,interest,credit,gross,fdi,cpi,balance,open_ww,kaopen,oecd,noil,safrica,low,middle,high,quake,storm,sdisaster,disaster,damage_cor,damage_gdp,disasterla,sdisasterla,mag,maxvei,combi,difmonth,abs_diff,dif_temp,drought,flood,magla,maxveila,combila,difmonthla,abs_diffla,dif_templa,droughtla,floodla,disindex,disindexla,indexla,dindex,maglaxopen_ww,maglaxpolity,maglaxkaopen,maxveilaxopen_ww,maxveilaxpolity,maxveilaxkaopen,combilaxopen_ww,combilaxpolity,combilaxkaopen,floodlaxopen_ww,floodlaxpolity,floodlaxkaopen,droughtlaxopen_ww,droughtlaxpolity,droughtlaxkaopen,dif_templaxopen_ww,dif_templaxpolity,dif_templaxkaopen,indexlaxopen_ww,indexlaxpolity,indexlaxkaopen,disindexlaxopen_ww,disindexlaxpolity,disindexlaxkaopen,EFW,size_gov,prop_rights,sound_money,freedom_to_trade,regulation
2001,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.5074587,9.26278,0.35,1.5033426,-0.0060026281580000005,5.255152e-05,,0.2400922591,0.1525610225,-0.1601305151,0.0,0.14013048,0,1,1,0,1,0,0,0,3,0,0.0,0.0,0.0,0.00024063527,5.400000095367432,0,40.0,1.2824029150259444,0.13935107,0.13935107,0,1.2824029,4.331435e-05,0.0,0.00020741073,0.00010286379,1.1177594e-05,9.6365504e-05,0.0,0.00041754602,7.9976606,0.0006415064,0.0009833294,46.821754,0.0,1.51600225e-05,6.0696607e-06,0.0,0.0,0.0,0.0,7.259376e-05,2.9064564e-05,0.0,0.0001461411,5.8510923e-05,0.0,0.0,0.0,0.0,3.3727927e-05,1.35037435e-05,0.0,0.00034416528,0.00013779441,0.0,0.00022452723,8.9894595e-05,,,,,,
2002,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.661839,9.283638,0.4,1.3715411,-0.01050823578,0.05379531743,,0.1462676047,0.1088974361,-0.013129532829999999,0.0,0.14013048,0,1,1,0,1,0,0,0,1,0,0.0,0.0,0.0,8.021176e-05,4.0,0,48.0,1.8534656862253795,0.055326607,0.055326607,0,1.8534657,3.2084703e-05,0.0,0.00024889287,0.00014866974,4.4378444e-06,3.8260034e-05,0.0,0.0006034821,6.958066,0.0005581187,0.0011321682,53.90879,0.0,1.1229646e-05,4.4960448e-06,0.0,0.0,0.0,0.0,8.71125e-05,3.4877477e-05,0.0,0.00021121874,8.4566236e-05,0.0,0.0,0.0,0.0,1.3391012e-05,5.3613967e-06,0.0,0.00039625887,0.00015865127,0.0,0.00019534153,7.8209436e-05,,,,,,
2003,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.6722803,9.310827,0.4,1.3263453,-0.003171308222,0.062428210799999995,,0.25112026400000004,0.09822371769999999,-0.05155811461,0.0,0.14013048,0,1,1,0,1,0,0,0,2,0,0.0,0.0,0.0,0.00016042351,4.699999809265137,0,34.0,0.4625721647901421,0.07577901,0.07577901,0,0.46257216,3.7699523e-05,0.0,0.00017629913,3.7103728e-05,6.0783677e-06,5.240349e-05,0.0,0.00015061193,5.6792264,0.00045554072,0.0008240662,39.23835,0.0,1.507981e-05,5.2828523e-06,0.0,0.0,0.0,0.0,7.051965e-05,2.4704881e-05,0.0,6.0244773e-05,2.1105321e-05,0.0,0.0,0.0,0.0,2.0961397e-05,7.343326e-06,0.0,0.0003296265,0.00011547679,0.0,0.00018221629,6.383514e-05,,,,,,
2004,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,7.754849,9.34059,0.4,1.2339889,0.027769576740000003,0.045084086450000005,,0.07328524772,0.04354194725,0.03444905786,0.0,0.14013048,0,1,1,0,1,0,0,0,4,1,0.0,0.0,8.021176e-05,0.00032084703,0.0,0,42.9,0.2283732379521851,0.15650265,0.031879343,0,0.22837324,0.0,0.0,0.00022244801,1.8318218e-05,1.25533525e-05,2.2045537e-05,0.0,7.435755e-05,3.1868181,0.00025562028,0.0009064322,43.16025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8979206e-05,3.1171745e-05,0.0,2.9743022e-05,1.0419759e-05,0.0,0.0,0.0,0.0,8.818215e-06,3.0892515e-06,0.0,0.0003625729,0.00012701878,0.0,0.000102248116,3.582019e-05,,,,,,
2005,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,8.024544,9.367938,0.4,1.2872258,0.033157580619999995,0.025027385739999998,,-0.04618014436,0.02296374444,0.1819768693,0.0,0.14013048,0,1,1,0,1,0,0,0,3,0,0.0,0.0,0.0,0.00024063527,0.0,0,49.9,0.3035275553948376,0.06544071,0.0010928315,0,0.30352756,0.0,0.0,0.0002587449,2.4346478e-05,5.249114e-06,7.5572626e-07,0.0,9.882754e-05,3.1702454,0.00025429096,0.001054375,50.20462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010349796,3.6258047e-05,0.0,3.9531016e-05,1.384875e-05,0.0,0.0,0.0,0.0,3.0229052e-07,1.0590028e-07,0.0,0.00042174998,0.00014775006,0.0,0.00010171639,3.5633915e-05,4.002282405179696,4.652864698011566,3.148804633287636,1.262167573916515,6.218265534783005,4.729309585899758
2006,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,8.235822,9.392062,0.4,1.0989212,0.00572325482,-0.03938134597,1.550442282,-0.00090249651,0.01330325336,0.2558016743,0.0,0.14013048,0,1,1,0,1,0,0,0,1,0,0.0,0.0,0.0,8.021176e-05,3.5999999046325684,0,51.9,0.2704913511811066,0.056403473,0.041970503,0,0.27049136,2.8876233e-05,0.0,0.00026911544,2.1696587e-05,4.524222e-06,2.902388e-05,0.0,8.8071065e-05,5.5398917,0.00044436447,0.0011721483,55.81246,0.0,1.1550494e-05,4.04644e-06,0.0,0.0,0.0,0.0,0.00010764618,3.7711274e-05,0.0,3.5228426e-05,1.234144e-05,0.0,0.0,0.0,0.0,1.16095525e-05,4.0671302e-06,0.0,0.0004688593,0.0001642537,0.0,0.0001777458,6.2269006e-05,4.883131653436282,5.34291331291134,3.5464627082705023,4.0611982519821215,6.1589492954667655,5.306134698550681
2007,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,8.541294,9.414391,0.4,1.1982312,0.004513020891,0.01904110253,0.2718071252,-0.014778443,0.01224867552,0.1750442538,0.0,0.0008719177,0,1,1,0,1,0,0,0,2,0,0.0,0.0,0.0,0.00016042351,4.099999904632568,0,26.0,1.015814035685573,0.07972909,0.07972909,0,1.0158141,3.288682e-05,0.0,0.00013481698,8.148023e-05,6.39521e-06,5.513509e-05,0.0,0.00033074562,5.440077,0.00043635812,0.00065515476,31.195543,0.0,1.3154728e-05,4.6084456e-06,0.0,0.0,0.0,0.0,5.392679e-05,1.8891968e-05,0.0,0.00013229826,4.634754e-05,0.0,0.0,0.0,0.0,2.2054037e-05,7.726107e-06,0.0,0.00026206192,9.1807146e-05,0.0,0.00017454325,6.114707e-05,4.9803647921534795,5.23922764511626,3.5691824050201086,4.453326802356491,6.115461547972109,5.52462556030243
2008,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,8.774461,9.435989,0.4,1.2639314,-0.0059725159689999995,0.09420263628,0.6725140894,0.019945476259999997,0.01247371341,0.08546465718,0.0,0.0008719177,0,1,1,0,1,0,0,0,1,0,0.0,0.0,0.0,8.021176e-05,0.0,0,34.0,0.39954408727432156,0.06366226,0.06366226,0,0.3995441,0.0,0.0,0.00017629913,3.2048134e-05,5.106462e-06,4.4024393e-05,0.0,0.0001300902,3.3032815,0.00026496203,0.0007237808,34.463207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.051965e-05,1.5371833e-07,0.0,5.2036077e-05,1.13427944e-07,0.0,0.0,0.0,0.0,1.7609758e-05,3.8385647e-08,0.0,0.0002895123,6.310773e-07,0.0,0.000105984815,2.3102508e-07,4.980803091327297,5.307379459640542,3.6540978536135835,5.0328363881389,5.687975655033964,5.2217261002094935
2009,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,8.565501,9.457145,0.4,1.2131855,0.02495206616,0.29227487199999996,-0.1581599138,0.029212193430000002,0.013731451140000002,-0.1002968929,0.0,0.0008719177,0,1,1,0,1,0,0,0,3,1,0.0,0.0,8.021176e-05,0.00024063527,0.0,0,22.0,1.9861814363277994,0.07811793,-0.013549982,0,1.9861814,0.0,0.0,0.000114075905,0.00015931511,6.2659765e-06,-9.370225e-06,0.0,0.00064669386,2.6439865,0.0002120788,0.00050346245,23.972631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5630364e-05,9.94648e-08,0.0,0.00025867755,5.638638e-07,0.0,0.0,0.0,0.0,-3.74809e-06,-8.170065e-09,0.0,0.00020138499,4.3897782e-07,0.0,8.483152e-05,1.8491525e-07,5.357889259453793,7.104952989052306,3.6227921681056325,5.238258976334918,5.811844360535008,5.011597803241098
2010,1.0,Angola,AGO,Sub-Saharan Africa,Lower middle income,8.682385,9.477934,0.4,1.2591461,0.000122267909,0.23549432920000002,-0.09218194420999999,-0.03913151649,0.0144705412,0.08998388553,0.0,0.0008719177,0,1,1,0,1,0,0,0,3,1,0.0,0.0,8.021176e-05,0.00024063527,0.0,0,40.0,0.14481194736228176,0.07927238,0.07927238,0,0.14481194,0.0,0.0,0.00020741073,1.1615621e-05,6.358577e-06,5.4819266e-05,0.0,4.7150275e-05,3.6974893,0.00029658212,0.00084476813,40.224083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2964296e-05,1.8084509e-07,0.0,1.886011e-05,4.111116e-08,0.0,0.0,0.0,0.0,2.1927706e-05,4.7797887e-08,0.0,0.00033790726,7.3656827e-07,0.0,0.00011863285,2.585952e-07,5.372787711239654,5.7386778315989275,3.6728840464197012,5.57022646008612,6.189830634938141,5.692319583155379
1979,2.0,Albania,ALB,Europe & Central Asia,Upper middle income,7.4214582,7.8700433,0.05,0.44083744,,,,,,,1.0,,0,0,0,0,1,0,1,0,1,0,0.0,0.0,0.0,0.0034785029,5.400000095367432,0,33.0,1.3396918527813788,1.041506,1.041506,0,1.3396919,0.0018783916,0.0,0.0074206083,0.004660122,0.0036228818,0.031233987,0.0,0.018916428,20.399141,0.070958465,0.037142035,40.781197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,2.0,Albania,ALB,Europe & Central Asia,Upper middle income,7.5152345,7.8903623,0.05,0.45274615,,,,,,,1.0,,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,4.900000095367432,0,49.9,1.456400881275527,0.2307602,0.12390628,0,1.4564009,0.0017044663,0.0,0.011220859,0.0050660945,0.0008027,0.0037158567,0.0,0.020564355,17.072985,0.05938843,0.051349133,56.380306,0.0017044663,8.522331e-05,,0.0,0.0,,0.011220859,0.000561043,,0.020564355,0.0010282177,,0.0,0.0,,0.0037158567,0.00018579284,,0.051349133,0.0025674568,,0.05938843,0.0029694214,,,,,,,
1981,2.0,Albania,ALB,Europe & Central Asia,Upper middle income,7.653581,7.9099565,0.05,0.45569664,,,0.1246689785,,,,1.0,,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,4.699999809265137,0,39.8,0.6414737203009749,0.6276874,0.12366808,0,0.6414737,0.0016348964,0.0,0.008949703,0.002231368,0.0021834124,0.0037087135,0.0,0.009057598,14.372789,0.04999579,0.041225843,45.26514,0.0016348964,8.174482e-05,,0.0,0.0,,0.008949703,0.00044748513,,0.009057598,0.0004528799,,0.0,0.0,,0.0037087135,0.00018543568,,0.041225843,0.0020612923,,0.04999579,0.0024997897,,,,,,,
